Numero di Studenti ISCRITTI e IMMATRICOLATI nell'anno accademico 2013/2014 per Ateneo e Sesso							
ATENEO (codice)	ATENEO	ISCRITTI			di cui IMMATRICOLATI		
		MASCHI	FEMMINE	TOTALI	MASCHI	FEMMINE	TOTALI
07202	Politecnico di Bari	 7.250 	 3.365 	 10.615 	 931 	 396 	 1.327 
07203	Libera Università Mediterranea Jean Monnet	 775 	 513 	 1.288 	 84 	 57 	 141 
07501	Università del Salento	 6.684 	 12.161 	 18.845 	 998 	 1.564 	 2.562 
07601	Università degli studi della Basilicata	 3.161 	 4.140 	 7.301 	 398 	 483 	 881 
07801	Università della Calabria	 12.358 	 18.096 	 30.454 	 1.674 	 2.232 	 3.906 
07901	Università degli studi di Catanzaro - Magna Grecia	 3.944 	 6.060 	 10.004 	 698 	 1.003 	 1.701 
08001	Università degli studi Mediterranea di Reggio Calabria	 3.649 	 3.754 	 7.403 	 503 	 410 	 913 
08003	"Università per stranieri ""Dante Alighieri"" di Reggio Calabria"	 119 	 633 	 752 	 18 	 97 	 115 
08201	Università degli studi di Palermo	 17.662 	 25.697 	 43.359 	 2.924 	 3.668 	 6.592 
08301	Università degli studi di Messina	 9.580 	 16.799 	 26.379 	 1.285 	 2.216 	 3.501 
08601	"Libera Università della Sicilia Centrale ""KORE"" di Enna"	 2.433 	 3.575 	 6.008 	 426 	 647 	 1.073 
08701	Università degli studi di Catania	 19.414 	 30.207 	 49.621 	 2.436 	 3.085 	 5.521 
09001	Università degli studi di Sassari	 4.727 	 8.561 	 13.288 	 602 	 964 	 1.566 
09201	Università degli studi di Cagliari	 10.975 	 16.635 	 27.610 	 1.416 	 1.943 	 3.359 
